Simulation Time,IMU Accelerometer X,IMU Accelerometer Y,IMU Accelerometer Z,IMU Gyroscope X,IMU Gyroscope Y,IMU Gyroscope Z,IMU Compass,GNSS Latitude,GNSS Longitude,Control Steer,Wheel Physics Tire Friction,Damping Rate,Radius,long_stiff_value,FL_PositionX,FL_PositionY,FL_PositionZ,FR_PositionX,FR_PositionY,FR_PositionZ,BL_PositionX,BL_PositionY,BL_PositionZ,BL_PositionX,BL_PositionY,BL_PositionZ,Vehicle Speed,Long_Speed,FL_Velocity,FR_Velocity,S_FL,S_FR,S_BL,S_BR,
263.2682373,3.399493694,-0.365158677,9.785683632,-0.073502054,-0.195512071,-4.47213338,270.0273214,-0.000147813,-0.000811473,-0.048745278,3.5,0.25,37,3000,-9097.708984,1728.988403,37.01209259,-9097.709961,1562.305542,37.01189423,-8797.244141,1728.986206,37.00988007,-8797.245117,1562.303345,37.00967026,15.32250313,15.31642584,14.61658224,15.08701656,-0.04569236,-0.01497799,0,0,
263.3205918,4.162486553,-0.259108633,9.826803207,0.035896933,-0.217315022,-4.191953898,269.801652,-0.000147895,-0.000813502,-0.04328749,3.5,0.25,37,3000,-9120.411133,1730.159912,37.00892639,-9121.070313,1563.478394,37.00917816,-8819.949219,1728.970825,37.00644684,-8820.608398,1562.289307,37.00672531,16.13554599,16.1303073,16.36729596,16.8406386,0.01469214,0.04403706,0,0,
263.3729706,4.645381927,-0.249829948,9.80147934,0.050093558,-0.206998941,-3.925198725,269.5898068,-0.000147982,-0.000815641,-0.038315758,3.5,0.25,37,3000,-9143.899414,1731.335327,37.01042557,-9145.165039,1564.657349,37.01072693,-8843.443359,1729.054932,37.00841522,-8844.708984,1562.376953,37.00870895,17.00936323,17.00503942,16.9327248,17.36895781,-0.00425254,0.02140062,0,0,
263.4220376,5.127655029,-0.219390988,9.801389694,0.045725462,-0.181835991,-3.656426513,269.4044628,-0.000148067,-0.000817751,-0.033732999,3.5,0.25,37,3000,-9167.212891,1732.460571,37.01071548,-9169.009766,1565.787354,37.01082993,-8866.765625,1729.221069,37.00892258,-8868.5625,1562.547974,37.00933456,17.88115209,17.87765481,16.80524365,17.1874707,-0.05998612,-0.03860596,0,0,
263.4713473,5.129596233,-0.193518728,9.769881248,0.040116753,-0.161974828,-3.391028413,269.2314951,-0.000148155,-0.000819982,-0.02991024,3.5,0.25,37,3000,-9191.984375,1733.61438,37.02515793,-9194.279297,1566.947388,37.02567291,-8891.547852,1729.476563,37.02042389,-8893.84375,1562.80957,37.02083969,18.56380615,18.56092309,17.85480849,18.21322664,-0.03804308,-0.01873271,0,0,
263.521169,4.931668282,-0.201997578,9.791388512,0.025927093,-0.121475661,-3.152491314,269.0697016,-0.000148246,-0.000822351,-0.026443539,3.5,0.25,37,3000,-9218.390625,1734.807251,37.02357101,-9221.15332,1568.147339,37.02412033,-8917.967773,1729.827026,37.02019501,-8920.730469,1563.166992,37.02062607,19.72677861,19.72455142,19.0318893,19.36857574,-0.03511675,-0.01804734,0,0,
263.5712982,4.932893753,-0.178829461,9.805411339,0.019332157,-0.092299341,-3.069347634,268.9191096,-0.000148342,-0.000824851,-0.023128403,3.5,0.25,37,3000,-9246.173828,1736.028198,37.02262497,-9249.365234,1569.375854,37.02307129,-8945.764648,1730.275146,37.02035904,-8948.956055,1563.622925,37.02077866,20.64572949,20.64398187,20.0232128,20.33182791,-0.03007022,-0.01512082,0,0,
263.6216726,3.612616301,-0.124905974,9.814768791,0.014851991,-0.033198201,-2.653388687,268.7817681,-0.000148442,-0.000827474,-0.020125952,3.5,0.25,37,3000,-9275.535156,1737.293945,37.02138519,-9279.128906,1570.649902,37.02191544,-8975.140625,1730.815552,37.02106857,-8978.734375,1564.171387,37.02149582,21.23998939,21.23858877,21.15979073,21.44946782,-0.00371014,0.00992905,0,0,
263.672846,4.693627357,-0.131287336,9.800526619,0.010914438,-0.025904148,-2.392813128,268.6536611,-0.000148547,-0.000830237,-0.017292777,3.5,0.25,37,3000,-9306.236328,1738.592896,37.02134323,-9310.197266,1571.957031,37.02166367,-9005.856445,1731.452515,37.02089691,-9009.818359,1564.816772,37.02122879,22.04354117,22.04248588,22.12461974,22.38900798,0.00372616,0.01572065,0,0,
263.7245483,4.654399872,-0.13272804,9.807274818,0.010172375,-0.03774542,-2.122080865,268.5382856,-0.000148656,-0.000833142,-0.01468291,3.5,0.25,37,3000,-9338.547852,1739.932617,37.02140427,-9342.838867,1573.305054,37.02161026,-9038.182617,1732.196899,37.02057266,-9042.474609,1565.569214,37.02082443,23.1956801,23.19493289,23.28428572,23.52198586,0.00385226,0.01410019,0,0,
263.7753545,5.615782261,-0.13827914,9.803972244,0.008293255,-0.067531888,-1.873500185,268.4377998,-0.000148768,-0.000836118,-0.01244478,3.5,0.25,37,3000,-9371.5625,1741.2771,37.02161789,-9376.140625,1574.657104,37.02184296,-9071.210938,1733.024658,37.01985931,-9075.789063,1566.404663,37.02016449,23.95995182,23.95937392,23.79024959,23.99701905,-0.0070588,0.00157121,0,0,
263.8259155,5.736196995,-0.116101235,9.80739975,0.01037747,-0.062100967,-1.6348744,268.3496904,-0.000148884,-0.000839209,-0.010403556,3.5,0.25,37,3000,-9406.150391,1742.661987,37.021698,-9410.981445,1576.049072,37.02180481,-9105.8125,1733.953735,37.01992416,-9110.643555,1567.340942,37.01996613,25.24338946,25.24299258,24.92323542,25.10540303,-0.01266717,-0.0054506,0,0,
263.8752721,5.416602135,-0.108113021,9.808094978,0.009988478,-0.041057761,-1.431565388,268.2742578,-0.000149001,-0.000842351,-0.008690427,3.5,0.25,37,3000,-9441.158203,1744.044434,37.0212059,-9446.205078,1577.437988,37.021492,-9140.831055,1734.94812,37.02015305,-9145.87793,1568.341675,37.02038956,26.20873638,26.20844989,25.22527058,25.38072404,-0.03751383,-0.0315824,0,0,
263.9248259,5.376998425,-0.103049099,9.807011604,0.009027396,-0.022706896,-1.244346275,268.2083055,-0.000149122,-0.000845625,-0.007212068,3.5,0.25,37,3000,-9477.675781,1745.469727,37.02098465,-9482.910156,1578.869019,37.02106857,-9177.359375,1736.03418,37.0203476,-9182.59375,1569.433594,37.02054977,27.15723558,27.15703132,26.3126753,26.44773372,-0.03109162,-0.02611838,0,0,
263.9738073,4.621115208,-3.758782864,9.820482254,-0.605213404,0.008043555,-6.346857237,268.0592707,-0.000149272,-0.000848974,-0.098730698,3.5,0.25,37,3000,-9514.817383,1747.53125,37.02817917,-9520.601563,1580.94873,37.01567459,-9214.533203,1737.105225,37.02997971,-9220.317383,1570.522705,37.01742935,28.03097492,28.02273524,26.78311448,27.17909246,-0.04423625,-0.03010565,0,0,
264.0230294,5.185062885,-2.131819963,9.809955597,-0.40273402,0.013842175,-10.83241706,267.590911,-0.000149535,-0.000852442,-0.077601328,3.5,0.25,37,3000,-9552.651367,1751.179443,37.03150177,-9559.854492,1584.652344,37.02526474,-9252.467773,1738.194702,37.03283691,-9259.670898,1571.66748,37.02650833,28.69912015,28.6866866,27.36681736,28.38763178,-0.04600982,-0.01042486,0,0,
264.0810573,4.813611031,-1.789217472,9.800065041,-0.144911975,0.030178474,-11.84683163,266.9209514,-0.000149934,-0.000856666,-0.072327234,3.5,0.25,37,3000,-9601.513672,1756.765381,37.03236389,-9610.793945,1590.340942,37.02910995,-9301.515625,1740.036621,37.03460312,-9310.794922,1573.612305,37.03136826,30.0207682,30.00699439,35.41000346,36.90439387,0.18005832,0.22985973,0,0,
264.1305544,3.779019356,-1.272104502,9.801025391,0.003434916,0.060621577,-11.35990745,266.3412596,-0.000150324,-0.000860375,-0.061892442,3.5,0.25,37,3000,-9640.619141,1761.568115,37.03018188,-9651.504883,1595.241089,37.03059006,-9340.795898,1741.944214,37.03351593,-9351.681641,1575.617188,37.03397369,30.46499033,30.45314711,28.36748785,29.52344061,-0.06848748,-0.03052908,0,0,
264.1898169,1.057734251,-4.278824806,9.820924759,-0.469407632,0.176837493,-14.42271966,265.6337066,-0.000150847,-0.000864904,-0.136038736,3.5,0.25,37,3000,-9689.101563,1768.196777,37.03448105,-9702.087891,1602.020508,37.02445984,-9389.549805,1744.786987,37.04237366,-9402.537109,1578.610718,37.0322876,30.96498148,30.94079108,35.23209784,36.74541171,0.13869415,0.18760414,0,0,
264.2310024,-0.573808432,-2.957827091,9.828194618,-0.376444089,0.267967905,-18.04582936,264.9281208,-0.000151308,-0.000868059,-0.108300894,3.5,0.25,37,3000,-9723,1774.221069,37.03640747,-9738.078125,1608.221436,37.03085709,-9423.766602,1747.039063,37.04631042,-9438.845703,1581.039551,37.04070663,30.85919519,30.83029265,24.78929952,26.29477573,-0.19594342,-0.14711235,0,0,
264.2854052,-2.868826628,-3.630380869,9.808005333,-0.250333824,0.354442742,-19.18700029,263.9377433,-0.000151997,-0.000872184,-0.184424192,3.5,0.25,37,3000,-9767.231445,1783.005615,37.03782272,-9785.217773,1617.295776,37.03107834,-9468.521484,1750.582764,37.05060577,-9486.507813,1584.873047,37.04382324,30.35014303,30.31083048,32.46863932,34.56367568,0.07118937,0.14030778,0,0,
264.3396173,-3.460111618,-3.528954983,9.804895401,-0.312064887,0.373647339,-24.14766765,262.7052494,-0.000152819,-0.000876192,-0.14861685,3.5,0.25,37,3000,-9810.076172,1793.705444,37.04294968,-9831.748047,1628.437012,37.0375824,-9512.162109,1754.640625,37.05574799,-9533.833008,1589.37207,37.05022812,29.65890979,29.60662969,31.79561872,34.44877237,0.07393577,0.16354927,0,0,
264.381641,-3.364176273,-3.281742573,9.788383484,-0.045014468,0.319610378,-23.76189686,261.6988347,-0.000153528,-0.000879222,-0.14861685,3.5,0.25,37,3000,-9841.530273,1802.409058,37.04280853,-9866.041992,1637.537842,37.04305267,-9544.333008,1758.224854,37.05184174,-9568.84375,1593.35376,37.05205154,29.3344866,29.28299097,23.49797398,25.5463044,-0.19755554,-0.12760604,0,0,
264.4353318,-2.610728502,-2.606633663,9.783925056,0.142507962,0.224072093,-21.23008575,260.5056826,-0.000154475,-0.000883009,-0.201172188,3.5,0.25,37,3000,-9881.766602,1814.007813,37.04253387,-9909.685547,1649.679443,37.04328156,-9585.546875,1763.68042,37.0484314,-9613.46582,1599.352051,37.04909515,28.64788835,28.60247058,30.14980735,32.61670215,0.05409801,0.14034562,0,0,
264.4901068,-2.846835613,-5.177918434,9.800527573,-0.383666053,0.191519331,-26.2429921,259.1926743,-0.000155533,-0.00088677,-0.16230464,3.5,0.25,37,3000,-9921.115234,1827.080811,37.05009079,-9952.87207,1663.450439,37.04425812,-9626.154297,1769.837158,37.05362701,-9657.910156,1606.206909,37.04774857,28.14570967,28.07894703,29.8536888,32.63686332,0.06320542,0.16232504,0,0,
264.5447557,-1.106135368,-3.250085831,9.78331089,0.061279877,0.084688856,-25.10701041,257.7901906,-0.0001567,-0.000890431,-0.139870733,3.5,0.25,37,3000,-9959.378906,1841.181152,37.04884338,-9995.09082,1678.36853,37.05040359,-9665.891602,1776.80603,37.04847336,-9701.603516,1613.993408,37.04998779,27.94132569,27.88226193,29.36089222,32.23938046,0.05303122,0.15626847,0,0,
264.5847694,0.11228317,-2.624819994,9.783187866,0.214877925,0.002220759,-22.98227175,256.8366962,-0.000157589,-0.000893086,-0.139870733,3.5,0.25,37,3000,-9987.625,1851.88501,37.04756927,-10026.03125,1689.686768,37.05054855,-9695.245117,1782.652954,37.04463196,-9733.652344,1620.454834,37.04768753,27.98385552,27.93202103,21.74846232,23.72083337,-0.22137885,-0.15076559,0,0,
264.639313,1.638240576,-2.07847023,9.791106224,0.263507631,-0.092617899,-20.10501699,255.6655373,-0.000158839,-0.000896707,-0.11715465,3.5,0.25,37,3000,-10026.06348,1866.594971,37.04532623,-10067.71875,1705.200439,37.04941177,-9735.132813,1791.507568,37.03931046,-9776.788086,1630.113159,37.04357529,28.33016806,28.29105137,29.63304689,32.02601497,0.04743534,0.13201926,0,0,
